Filename                                                                         :         CODE         DATA
csl_wiz16m_cs_refclk100MHz_20b_QSGMII_cmn_multilink_pll1.oe66                    :           64            0
csl_wiz16m_cs_refclk100MHz_20b_QSGMII_cmn_pll_multilink_pll0.oe66                :           64            0
csl_wiz16m_cs_refclk100MHz_20b_QSGMII_cmn_pll_multilink_pll1.oe66                :           64            0
csl_wiz16m_cs_refclk100MHz_20b_QSGMII_ln_multilink_pll0.oe66                     :          672            0
csl_wiz16m_cs_refclk100MHz_20b_QSGMII_ln_multilink_pll1.oe66                     :          704            0
csl_wiz16m_cs_refclk100MHz_20b_SGMII_cmn_multilink_pll1.oe66                     :           64            0
csl_wiz16m_cs_refclk100MHz_20b_SGMII_cmn_multilink_pll1_opt3.oe66                :           64            0
csl_wiz16m_cs_refclk100MHz_20b_SGMII_cmn_pll_multilink_pll1.oe66                 :           64            0
csl_wiz16m_cs_refclk100MHz_20b_SGMII_cmn_pll_multilink_pll1_opt3.oe66            :          128            0
csl_wiz16m_cs_refclk100MHz_20b_SGMII_ln_multilink_pll1.oe66                      :          576            0
csl_wiz16m_cs_refclk100MHz_20b_SGMII_ln_multilink_pll1_opt3.oe66                 :          608            0
csl_wiz16m_cs_refclk100MHz_20b_USB_cmn_ext_ssc_multilink_pll1.oe66               :           32            0
csl_wiz16m_cs_refclk100MHz_20b_USB_cmn_pll_ext_ssc_multilink_pll1.oe66           :          128            0
csl_wiz16m_cs_refclk100MHz_20b_USB_ln_ext_ssc_multilink_pll1.oe66                :         1760            0
csl_wiz16m_cs_refclk100MHz_32b_PCIe_cmn_pll_ext_ssc_multilink_pll0.oe66          :          128            0
csl_wiz16m_cs_refclk100MHz_32b_PCIe_cmn_pll_int_ssc_multilink_pll0.oe66          :          192            0
csl_wiz16m_cs_refclk100MHz_32b_PCIe_ln_ext_ssc_multilink_pll0.oe66               :          192            0
csl_wiz16m_cs_refclk100MHz_32b_PCIe_ln_int_ssc_multilink_pll0.oe66               :          192            0
